Workout log file,,,,,,
Created:,15-Dec-23,at:,18:53:47,,,
Time,Cadence,Power,HR BPM,HR Zone,Gradient,Speed
1.000717878,81,67,110,Recovery,0,18.91
2.000854969,79,72,110,Recovery,0,18.78
3.000922203,77,80,110,Recovery,0,18.56
4.001580238,77,80,111,Recovery,0,18.48
5.002199411,76,80,112,Aerobic,0,18.47
6.002864122,76,80,113,Aerobic,0,18.41
7.003623247,76,80,112,Aerobic,0,18.35
8.00401926,76,80,112,Aerobic,0,18.33
9.004676104,78,80,112,Aerobic,0,18.32
10.00537229,74,80,112,Aerobic,0,18.36
11.0053823,78,80,112,Aerobic,0,18.34
12.0056839,75,80,113,Aerobic,0,18.25
13.00572443,78,80,113,Aerobic,0,18.29
14.00636101,76,80,113,Aerobic,0,18.31
15.00675845,75,80,114,Aerobic,0,18.39
16.00770545,77,80,115,Aerobic,0,18.54
17.00798416,78,90,115,Aerobic,0,18.41
18.00886106,75,90,116,Aerobic,0,18.11
19.00951266,75,90,116,Aerobic,0,17.78
20.0101769,74,90,116,Aerobic,0,17.43
21.01116204,72,90,117,Aerobic,0,17.55
22.01196146,73,90,117,Aerobic,0,17.87
23.01198101,72,90,117,Aerobic,0,17.82
24.01198316,76,90,118,Aerobic,0,17.87
25.0119884,72,90,118,Aerobic,0,17.75
26.01203561,73,90,119,Aerobic,0,17.69
27.01207423,75,90,119,Aerobic,0,18.13
28.01288104,74,90,120,Aerobic,0,18.77
29.01327443,80,90,120,Aerobic,0,19.02
30.01366735,78,90,121,Aerobic,0,18.93
31.01367044,79,90,123,Aerobic,0,18.7
32.01389146,76,90,123,Aerobic,0,18.45
33.01402569,78,90,123,Aerobic,0,18.45
34.01403093,77,90,123,Aerobic,0,18.52
35.01778007,76,90,124,Aerobic,0,18.42
36.02024794,76,90,124,Aerobic,0,18.43
37.02029014,77,90,124,Aerobic,0,18.41
38.02228332,76,90,125,Aerobic,0,18.55
39.02580333,78,90,126,Aerobic,0,18.84
40.02754092,78,90,126,Aerobic,0,18.82
41.02767515,77,90,126,Aerobic,0,18.78
42.02784061,79,90,127,Aerobic,0,18.68
43.03027129,76,90,127,Aerobic,0,18.45
44.03189874,76,90,128,Aerobic,0,18.63
45.03570485,109,90,128,Aerobic,0,18.88
46.0361352,84,92,128,Aerobic,0,18.22
47.03618145,84,91,127,Aerobic,0,15.91
48.0363276,30,100,126,Aerobic,0,16.11
49.03645086,80,104,126,Aerobic,0,18.57
50.03676271,78,100,126,Aerobic,0,18.58
51.03753424,75,100,126,Aerobic,0,18.32
52.03792524,78,100,126,Aerobic,0,18.51
53.03876328,76,100,126,Aerobic,0,18.54
54.0388031,81,100,128,Aerobic,0,18.27
55.03962421,74,100,128,Aerobic,0,18.19
56.04000783,74,100,129,Aerobic,0,18.25
57.04085088,77,100,130,Tempo,0,18.67
58.04161859,84,100,132,Tempo,0,20.04
59.04187465,86,100,133,Tempo,0,20.58
60.04197001,82,100,133,Tempo,0,19.89
61.0421648,82,100,134,Tempo,0,19.56
62.04311252,80,100,134,Tempo,0,19.53
63.0432713,80,100,135,Tempo,0,19.59
64.04334688,82,100,135,Tempo,0,19.86
65.04384518,84,100,135,Tempo,0,19.98
66.04397511,80,100,136,Tempo,0,19.82
67.04480386,82,100,135,Tempo,0,19.64
68.04559731,81,100,135,Tempo,0,19.19
69.04644656,79,100,136,Tempo,0,19.32
70.04666948,82,100,136,Tempo,0,19.38
71.0475049,79,100,136,Tempo,0,19.16
72.0477407,80,100,135,Tempo,0,19.02
73.04871178,77,100,135,Tempo,0,18.94
74.04886293,80,100,135,Tempo,0,18.95
75.04901838,82,100,135,Tempo,0,19.1
76.04980755,79,100,134,Tempo,0,19.32
77.04994059,81,100,134,Tempo,0,19.19
78.05038428,77,100,134,Tempo,0,18.64
79.05115438,75,100,133,Tempo,0,18.29
80.05184913,76,100,133,Tempo,0,18.38
81.05268764,78,100,133,Tempo,0,18.65
82.05309463,80,100,134,Tempo,0,18.52
83.05369902,75,100,134,Tempo,0,18.57
84.0539422,77,100,135,Tempo,0,18.91
85.05459619,79,100,136,Tempo,0,19.04
86.05521154,83,100,136,Tempo,0,19.3
87.05580163,79,100,136,Tempo,0,19.54
88.05652952,82,100,136,Tempo,0,19.45
89.05663013,81,100,136,Tempo,0,19.17
